date,使用門號數
2021/1/1,13147
2021/1/2,12214
2021/1/3,12483
2021/1/4,18019
2021/1/5,16155
2021/1/6,22350
2021/1/7,15148
2021/1/8,20414
2021/1/9,15776
2021/1/10,16381
2021/1/11,22796
2021/1/12,15380
2021/1/13,21139
2021/1/14,17975
2021/1/15,22288
2021/1/16,14920
2021/1/17,14062
2021/1/18,20788
2021/1/19,16532
2021/1/20,21209
2021/1/21,15406
2021/1/22,24374
2021/1/23,16032
2021/1/24,14411
2021/1/25,20157
2021/1/26,21337
2021/1/27,21504
2021/1/28,14108
2021/1/29,13537
2021/1/30,13178
2021/1/31,12807
2021/2/1,18459
2021/2/2,16785
2021/2/3,18460
2021/2/4,15292
2021/2/5,19238
2021/2/6,14476
2021/2/7,14005
2021/2/8,22130
2021/2/9,22725
2021/2/10,17181
2021/2/11,13655
2021/2/12,12724
2021/2/13,12945
2021/2/14,13394
2021/2/15,15340
2021/2/16,16048
2021/2/17,26170
2021/2/18,19419
2021/2/19,30714
2021/2/20,19395
2021/2/21,16771
2021/2/22,29668
2021/2/23,20644
2021/2/24,17465
2021/2/25,19127
2021/2/26,15997
2021/2/27,15278
2021/2/28,13725
2021/3/1,17053
2021/3/2,17120
2021/3/3,22035
2021/3/4,17627
2021/3/5,23154
2021/3/6,17430
2021/3/7,16779
2021/3/8,17994
2021/3/9,16568
2021/3/10,24286
2021/3/11,20332
2021/3/12,22516
2021/3/13,16962
2021/3/14,16427
2021/3/15,24647
2021/3/16,17887
2021/3/17,21003
2021/3/18,16675
2021/3/19,20924
2021/3/20,16681
2021/3/21,14792
2021/3/22,20923
2021/3/23,17124
2021/3/24,20017
2021/3/25,17230
2021/3/26,14386
2021/3/27,13724
2021/3/28,12961
2021/3/29,13607
2021/3/30,13788
2021/3/31,14222
2021/4/1,21922
2021/4/2,16381
2021/4/3,14321
2021/4/4,13984
2021/4/5,15580
2021/4/6,21471
2021/4/7,17233
2021/4/8,17222
2021/4/9,18887
2021/4/10,17838
2021/4/11,16326
2021/4/12,17621
2021/4/13,22495
2021/4/14,20045
2021/4/15,25352
2021/4/16,21210
2021/4/17,15500
2021/4/18,15026
2021/4/19,16381
2021/4/20,20475
2021/4/21,16044
2021/4/22,25452
2021/4/23,19556
2021/4/24,18174
2021/4/25,14371
2021/4/26,17177
2021/4/27,21580
2021/4/28,20009
2021/4/29,21162
2021/4/30,17035
2021/5/1,16094
2021/5/2,15503
2021/5/3,15997
2021/5/4,21877
2021/5/5,19326
2021/5/6,21945
2021/5/7,17625
2021/5/8,17082
2021/5/9,16698
2021/5/10,20365
2021/5/11,18124
2021/5/12,23915
2021/5/13,22722
2021/5/14,20315
2021/5/15,18091
2021/5/16,16326
2021/5/17,17173
2021/5/18,24546
2021/5/19,20038
2021/5/20,19210
2021/5/21,34503
2021/5/22,18405
2021/5/23,17311
2021/5/24,17253
2021/5/25,23823
2021/5/26,17141
2021/5/27,19707
2021/5/28,15767
2021/5/29,14595
2021/5/30,15249
2021/5/31,15806
2021/6/1,16930
2021/6/2,17453
2021/6/3,16059
2021/6/4,23587
2021/6/5,17882
2021/6/6,17283
2021/6/7,26650
2021/6/8,20183
2021/6/9,27179
2021/6/10,21919
2021/6/11,27263
2021/6/12,19536
2021/6/13,19021
2021/6/14,19031
2021/6/15,21503
2021/6/16,23162
2021/6/17,19726
2021/6/18,26381
2021/6/19,20295
2021/6/20,18992
2021/6/21,23200
2021/6/22,18775
2021/6/23,23190
2021/6/24,17698
2021/6/25,26621
2021/6/26,17773
2021/6/27,16306
2021/6/28,21419
2021/6/29,15864
2021/6/30,23608
2021/7/1,19998
2021/7/2,19354
2021/7/3,17363
2021/7/4,16862
2021/7/5,20229
2021/7/6,24213
2021/7/7,18711
2021/7/8,18593
2021/7/9,26715
2021/7/10,21330
2021/7/11,18916
2021/7/12,22155
2021/7/13,20706
2021/7/14,23998
2021/7/15,22340
2021/7/16,22595
2021/7/17,17876
2021/7/18,17860
2021/7/19,19529
2021/7/20,22918
2021/7/21,18088
2021/7/22,29803
2021/7/23,20486
2021/7/24,17410
2021/7/25,16394
2021/7/26,18880
2021/7/27,21698
2021/7/28,16017
2021/7/29,22671
2021/7/30,18853
2021/7/31,16336
2021/8/1,16788
2021/8/2,18599
2021/8/3,24310
2021/8/4,18305
2021/8/5,27325
2021/8/6,20676
2021/8/7,18516
2021/8/8,18922
2021/8/9,20034
2021/8/10,21573
2021/8/11,25776
2021/8/12,23374
2021/8/13,27129
2021/8/14,21543
2021/8/15,20639
2021/8/16,21319
2021/8/17,19366
2021/8/18,25551
2021/8/19,19893
2021/8/20,28856
2021/8/21,20635
2021/8/22,17360
2021/8/23,18920
2021/8/24,18155
2021/8/25,22578
2021/8/26,17298
2021/8/27,24713
2021/8/28,17204
2021/8/29,15093
2021/8/30,22132
2021/8/31,17122
2021/9/1,18201
2021/9/2,19133
2021/9/3,23208
2021/9/4,19208
2021/9/5,18932
2021/9/6,18805
2021/9/7,18252
2021/9/8,17800
2021/9/9,17035
2021/9/10,22935
2021/9/11,28643
2021/9/12,19229
2021/9/13,21529
2021/9/14,24239
2021/9/15,21477
2021/9/16,25552
2021/9/17,20774
2021/9/18,19339
2021/9/19,18467
2021/9/20,22892
2021/9/21,23306
2021/9/22,25660
2021/9/23,20950
2021/9/24,18793
2021/9/25,17481
2021/9/26,16991
2021/9/27,19926
2021/9/28,22281
2021/9/29,16826
2021/9/30,24883
2021/10/1,21399
2021/10/2,19409
2021/10/3,17444
2021/10/4,20109
2021/10/5,29000
2021/10/6,21080
2021/10/7,25245
2021/10/8,21881
2021/10/9,20325
2021/10/10,19703
2021/10/11,19736
2021/10/12,24930
2021/10/13,21605
2021/10/14,20916
2021/10/15,27334
2021/10/16,21310
2021/10/17,18543
2021/10/18,20197
2021/10/19,20158
2021/10/20,19077
2021/10/21,17638
2021/10/22,20966
2021/10/23,18386
2021/10/24,17615
2021/10/25,17098
2021/10/26,22636
2021/10/27,19877
2021/10/28,17712
2021/10/29,16243
2021/10/30,17045
2021/10/31,16347
2021/11/1,18097
2021/11/2,17272
2021/11/3,17638
2021/11/4,17789
2021/11/5,26663
2021/11/6,21327
2021/11/7,19181
2021/11/8,23700
2021/11/9,22015
2021/11/10,28743
2021/11/11,24987
2021/11/12,24611
2021/11/13,21933
2021/11/14,22157
2021/11/15,23114
2021/11/16,19630
2021/11/17,20011
2021/11/18,19181
2021/11/19,25344
2021/11/20,22180
2021/11/21,18126
2021/11/22,23148
2021/11/23,26277
2021/11/24,20429
2021/11/25,23783
2021/11/26,20576
2021/11/27,17468
2021/11/28,16981
2021/11/29,17814
2021/11/30,18355
2021/12/1,25591
2021/12/2,19526
2021/12/3,23848
2021/12/4,19396
2021/12/5,21654
2021/12/6,21712
2021/12/7,19112
2021/12/8,18680
2021/12/9,18807
2021/12/10,30254
2021/12/11,20388
2021/12/12,19465
2021/12/13,26859
2021/12/14,22782
2021/12/15,28561
2021/12/16,21634
2021/12/17,23858
2021/12/18,19177
2021/12/19,18329
2021/12/20,29249
2021/12/21,18896
2021/12/22,22749
2021/12/23,25239
2021/12/24,24624
2021/12/25,18649
2021/12/26,16538
2021/12/27,19126
2021/12/28,21430
2021/12/29,17837
2021/12/30,18449
2021/12/31,16742
2022/1/1,18148
2022/1/2,17637
2022/1/3,21269
2022/1/4,24468
2022/1/5,27361
2022/1/6,21604
2022/1/7,20788
2022/1/8,19378
2022/1/9,18472
2022/1/10,24224
2022/1/11,20489
2022/1/12,27773
2022/1/13,27145
2022/1/14,21725
2022/1/15,22058
2022/1/16,18676
2022/1/17,22063
2022/1/18,24795
2022/1/19,22818
2022/1/20,28797
2022/1/21,24069
2022/1/22,19629
2022/1/23,18942
2022/1/24,19647
2022/1/25,23240
2022/1/26,23357
2022/1/27,19543
2022/1/28,24537
2022/1/29,18697
2022/1/30,15787
2022/1/31,14035
2022/2/1,14476
2022/2/2,14578
2022/2/3,14751
2022/2/4,15254
2022/2/5,19596
2022/2/6,17607
2022/2/7,22352
2022/2/8,30725
2022/2/9,25567
2022/2/10,29623
2022/2/11,33505
2022/2/12,23287
2022/2/13,22712
2022/2/14,29335
2022/2/15,27692
2022/2/16,22456
2022/2/17,24345
2022/2/18,20715
2022/2/19,29134
2022/2/20,20278
2022/2/21,29235
2022/2/22,22348
2022/2/23,18967
2022/2/24,27746
2022/2/25,20520
2022/2/26,20616
2022/2/27,17731
2022/2/28,19531
2022/3/1,22000
2022/3/2,24181
2022/3/3,27990
2022/3/4,33034
2022/3/5,24200
2022/3/6,21967
2022/3/7,21720
2022/3/8,22256
2022/3/9,25954
2022/3/10,29791
2022/3/11,25555
2022/3/12,21672
2022/3/13,22250
2022/3/14,23968
2022/3/15,24966
2022/3/16,20888
2022/3/17,24102
2022/3/18,21682
2022/3/19,20840
2022/3/20,20479
2022/3/21,24161
2022/3/22,26612
2022/3/23,24856
2022/3/24,21941
2022/3/25,30217
2022/3/26,20152
2022/3/27,18374
2022/3/28,21731
2022/3/29,25029
2022/3/30,21642
2022/3/31,20085
2022/4/1,28853
2022/4/2,20043
2022/4/3,18760
2022/4/4,18621
2022/4/5,22930
2022/4/6,31870
2022/4/7,24783
2022/4/8,30444
2022/4/9,23100
2022/4/10,24196
2022/4/11,27308
2022/4/12,22546
2022/4/13,29376
2022/4/14,25995
2022/4/15,35227
2022/4/16,21606
2022/4/17,20236
2022/4/18,22395
2022/4/19,22497
2022/4/20,29038
2022/4/21,23217
2022/4/22,29213
2022/4/23,21270
2022/4/24,20482
2022/4/25,20160
2022/4/26,19752
2022/4/27,20874
2022/4/28,25061
2022/4/29,27552
2022/4/30,21641
2022/5/1,22095
2022/5/2,27111
2022/5/3,28372
2022/5/4,23021
2022/5/5,32600
2022/5/6,32771
2022/5/7,23217
2022/5/8,23171
2022/5/9,23675
2022/5/10,28786
2022/5/11,23986
2022/5/12,30900
2022/5/13,30544
2022/5/14,23908
2022/5/15,23764
2022/5/16,24484
2022/5/17,21425
2022/5/18,21454
2022/5/19,27143
2022/5/20,32920
2022/5/21,22232
2022/5/22,19819
2022/5/23,20786
2022/5/24,28372
2022/5/25,20336
2022/5/26,24114
2022/5/27,22176
2022/5/28,18436
2022/5/29,17918
2022/5/30,22620
2022/5/31,22627
2022/6/1,29354
2022/6/2,29357
2022/6/3,22614
2022/6/4,20193
2022/6/5,22493